The Public House Café n Restaurant,+91 7869950567,"Mahadev Complex, Lower Ground Floor, Shivaji Nagar Opposite Board Office, Maharana Pratap Nagar, Bhopal",4.5,₹800,11AM to 11PM (Mon-Sun),248 votes
Sagar Gaire Fast Food,"+91 9425403723, +91 7848011111","10, Number Market, Arera Colony, Bhopal",4.6,₹300,11AM to 11PM (Mon-Sun),522 votes
Shahnama - Jehan Numa Palace,0755 2661100,"Hotel Jehan Numa Palace, 157, Shymala Hills, TT Nagar, Bhopal",4.2,"₹2,000","7AM to 10AM, 1PM to 3PM, 7:30PM to 11PM (Mon-Sun)",152 votes
Tilak's Chocolady Bakery & Restaurant,+91 9179177114,"Plot 2, Trilochand Nagar, Near Bank Of Baroda, Gulmohar Colony, Bhopal",4.4,₹800,11AM to 11PM (Mon-Sun),191 votes
Kebabsville - Sayaji Hotel,"+91 7552767777, +91 7024151505","A-3,Van Vihar Road, Prempura, TT Nagar, Bhopal",4.3,"₹1,800",7PM to 11PM (Mon-Sun),203 votes
10 Downing Street,0755 2514210,"Third Floor, DB City Mall, Maharana Pratap Nagar, Bhopal",3.8,"₹1,000",12Noon to 10:30PM (Mon-Sun),365 votes
Bake N Shake,0755 4291111,"B-1, GM Tower, Stop No. 10, Arera Colony, Bhopal",4.1,₹500,10AM to 11PM (Mon-Sun),292 votes
Chi Kitchen,0755 6644470,"12-13, Food Court, DB City Mall, Maharana Pratap Nagar, Bhopal",4,"₹1,000",11AM to 11PM (Mon-Sun),166 votes
The Urban Socialite,0755 4221787,"5th Floor, Hotel Lake View Ashoka, Shyamla Hills, TT Nagar, Bhopal",3.8,₹900,12Noon to 11:30PM (Mon-Sun),145 votes
32 Degree North East,+91 9893202121,"Kerwa Dam Road, National Law Institute University, TT Nagar, Bhopal",3.8,₹500,11AM to 11PM (Mon-Sun),70 votes
Olive & Honey Restaurant,+91 9893338963,"Shaan-e-Fiza Apartment, New Saifia College Road, Housing Board Colony, Kohefiza, Bhopal",3.8,₹600,11AM to 11PM (Mon-Sun),86 votes
The Urban Grill,+91 8966000686,"Shop 5, Shayog Tower, Trilanga Tiraha, Gulmohar Colony, Bhopal",4.1,₹500,7PM to 11PM (Mon-Sun),128 votes
Sagar Gaire,"+91 9425403708, +91 9303111922","Shop 33-34,Ground Floor, Platinum Plaza, TT Nagar, Bhopal",4.1,₹350,11AM to 11PM (Mon-Sun),142 votes
La Kuchina - Jehan Numa Palace,0755 2661100,"157, Hotel Jehan Numa Palace, Shymala Hills, TT Nagar, Bhopal",4.3,"₹2,200","12Noon to 3PM, 7:30PM to 11PM (Mon-Sun)",150 votes
Rice Bowl Thai & Chinese,0755 4273888,"4B,Mezanine Floor, A Block, Mansarovar Complex, Habib Ganj, Bhopal",3.9,₹600,12Noon to 11PM (Mon-Sun),231 votes
Chai & More,0755 4240888,"Platinum Plaza, New Market, near to Milan sweet shop, TT Nagar, Bhopal",3.9,₹250,11:30AM to 10:30PM (Mon-Sun),67 votes
Bay Leaf - Courtyard Marriott,0755 3096236,"Courtyard By Marriot, 4th Floor, DB City Mall, Maharana Pratap Nagar, Bhopal",3.8,"₹1,500",7PM to 11:30PM (Mon-Sun),123 votes
Indian Coffee House,0755 2554594,"Near Apex Bank, TT Nagar, Bhopal",3.9,₹500,7AM to 11PM (Mon-Sun),222 votes
Cafe Mojo Jojo,+91 9713451904,"Type-9, Residential Quarters, E7, Arera Colony, Bhopal",4,₹400,12:30PM to 10:30PM (Mon-Sun),128 votes
Sankalp,0755 4275555,"85, Zone II, Maharana Pratap Nagar, Bhopal",3.9,₹600,11AM to 11PM (Mon-Sun),180 votes
Wind And Waves,0755 2661523,"Lake Driver Road, Van Vihar Road, Shymla Hills, TT Nagar, Bhopal",2.4,"₹1,000",11AM to 11PM (Mon-Sun),212 votes
Sanchi - Sayaji Hotel,"0755 2767777, +91 7024151505","A-3,Van Vihar Road, Prempura, TT Nagar, Bhopal",4.1,"₹1,500","12Noon to 3:15PM, 7PM to 11:15PM (Mon-Sun)",74 votes
Cowboy Restaurant & Lounge,"+91 9301746230, +91 7554270500","E-5, Bittan Market, Opposite Habibganj Police Station, Arera Colony, Bhopal",3.5,₹800,12Noon to 11PM (Mon-Sun),240 votes
Da pizzeria,"0755 4255333, 0755 4003330","177, Zone 2, Maharana Pratap Nagar, Bhopal",3.7,₹500,11AM to 11PM (Mon-Sun),182 votes
Lazeez Hakeem,+91 7745977459,"187 A, Zone 1, Maharana Pratap Nagar, Bhopal",3.6,₹400,11AM to 11PM (Mon-Sun),151 votes
The Eclair Lounge- Courtyard By Marriott Bhopal,"0755 3096241, 0755 3096444","Courtyard By Marriot, 4th Floor, DB City Mall, Maharana Pratap Nagar, Bhopal",4,"₹2,000",11AM to 11PM (Mon-Sun),138 votes
Maybe There,0755 4224330,"4th floor,10th Cross Road Building, Above Vishal Fitness Centre, 10 Main Road, Arera Colony, Bhopal",3.6,₹600,12:30PM to 12:30AM (Mon-Sun),140 votes
Tattenham Corner - Jehan Numa Palace,0755 2661100,"Hotel Jehan Numa Palace,157,Shymala Hills, TT Nagar, Bhopal",4,"₹2,200",11AM to 11PM (Mon-Sun),94 votes
Zam Zam Fast Food,0755 4282221,"Laxmi Narayan Market,Opposite Corporation Bank, Hamidia Road, Peer Gate Area, Bhopal",4,₹500,11AM to 11PM (Mon-Sun),154 votes
Momo Cafe - Courtyard Marriot,0755 3096444,"Courtyard By Marriot, 4th Floor, DB City Mall, Maharana Pratap Nagar, Bhopal",3.6,"₹1,000",6AM to 11PM (Mon-Sun),98 votes
Pizza Hut,+91 7556644187,"Third Floor, DB City Mall, Arera Hills, Maharana Pratap Nagar, Bhopal",3.9,₹650,11:30AM to 11PM (Mon-Sun),121 votes
KFC,+91 7556644391,"Third Floor, DB City Mall, Maharana Pratap Nagar, Bhopal",3.8,₹550,11AM to 11PM (Mon-Sun),114 votes
Manohar Dairy And Restaurant,0755 4012000,"6, Hamidia Road, Opposite Alpana Cineplex, Bhopal",4.2,₹400,9AM to 11PM (Mon-Sun),282 votes
Saffron,0755 4275555,"1st Floor, 85, Zone 2, Near Jyoti Talkies, Maharana Pratap Nagar, Bhopal",3.7,₹750,"12Noon to 3PM, 7PM to 11PM (Mon-Sun)",152 votes
