Taste Of India,"L 1, Radhekrishna Shopping Complex, Zone II, M P Nagar, Bhopal - 462011, Behind Sargam Cinema (Map)",4.1,-9152607352,354,https://www.justdial.com/BHOPAL/Taste-Of-India-Behind-Sargam-Cinema-M-P-Nagar/0755P755STD17215_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,08:00 am - 11:00 pm
Shri Ram Fast Food & Family..,"Shop No., Bagh Sawaniya Main Road, Bagh Swaniya, Bhopal - 462026, Near Raja Bhoj Arcade (Map)",5,-9152954978,1,https://www.justdial.com/Bhopal/Shri-Ram-Fast-Food-Family-Restaurant-Near-Raja-Bhoj-Arcade-Bagh-Swaniya/0755PX755-X755-170516142504-Q1X4_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Tom And Jerry,"Shop No 3, Trilanga Road, Trilanga, Bhopal - 462039, Behind Bank Of Baroda (Map)",3.5,-9152959921,2,https://www.justdial.com/Bhopal/Tom-And-Jerry-Behind-Bank-Of-Baroda-Trilanga/0755PX755-X755-171226122504-J1W2_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:00 am - 10:30 pm
Valentines Cafe,"Shop No. 1-2 Pushpa Nagar, 80 Feet Road Ashoka Garden, Bhopal - 462023, Near Manan Hotel (Map)",3.5,-9152781158,2,https://www.justdial.com/Bhopal/Valentines-Cafe-Near-Manan-Hotel/0755PX755-X755-180510194218-W2F3_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:00 am - 10:30 pm
Cafe Alabina,"E-2 11/B, Arera Colony, Bhopal - 462016, Bank Of Maharashtra (Map)",4.8,-9152877573,20,https://www.justdial.com/Bhopal/Cafe-Alabina-Bank-Of-Maharashtra-Arera-Colony/0755PX755-X755-161025180809-J6W4_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,09:30 am - 11:00 pm
New Indian Coffee House & R..,"13-B, Raisen Road, Indrapuri, Bhopal - 462023, Bhel (Map)",3.8,-9152924817,7,https://www.justdial.com/Bhopal/New-Indian-Coffee-House-Restaurant-Bhel-Indrapuri/0755PX755-X755-140317223827-Q6X9_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,08:00 am - 11:00 pm
Red Chillies Family Restaur..,"Hig-3-4 A Sector, Ratnagiri Raisen Road, Raisen Road, Bhopal - 462022, Near Piplani Petrol Pump (Map)",5,-9152794739,1,https://www.justdial.com/Bhopal/Red-Chillies-Family-Restaurant-Near-Piplani-Petrol-Pump-Raisen-Road/0755PX755-X755-180127200349-B3F8_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:30 am - 11:00 pm
Amitas Delhi Darbar,"4th Floor, G M Tower, Arera Colony, Bhopal - 462016, 10 No Market (Map)",4,-9152614350,120,https://www.justdial.com/Bhopal/Amitas-Delhi-Darbar-10-No-Market-Arera-Colony/0755P7480-7480-110214104724-F9H9_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Prada Food Zone,"Shop No.11 Rajat Shopping Complex, Rajat Vihar, Danish Kung, Danish Kung Road, Hoshangabad Road, Bhopal - 462011, Near Wonder School",4.5,-9152758879,3,https://www.justdial.com/Bhopal/Prada-Food-Zone-Near-Wonder-School-Hoshangabad-Road/0755PX755-X755-171007110524-E4H4_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:30 pm
Tandoori Non Veg Restaurant,"75 -B, Near Chetak Bridge, Kasturba Nagar, Bhopal - 462024, Beside Galaxy Gym (Map)",3.5,-9152650554,2,https://www.justdial.com/Bhopal/Tandoori-Non-Veg-Restaurant-Beside-Galaxy-Gym-Kasturba-Nagar/0755PX755-X755-171018172802-M5L3_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,08:00 am - 10:00 pm
