,np1,np2,ap1,ap2
97804,0.0,0.0,6.666666666666668,10.0
17763,0.0,0.0,18.75,30.0
48997,0.0,0.0,20.0,33.33333333333333
24485,0.0,0.0,9.090909090909092,12.5
32048,0.0,0.0,9.523809523809524,18.181818181818183
101323,0.0,0.0,26.66666666666667,33.33333333333333
63829,0.0,0.0,12.5,25.0
89159,0.0,0.0,16.666666666666664,25.0
35304,0.0,0.0,12.5,20.0
4760,0.0,0.0,0.0,0.0
70511,0.0,0.0,7.6923076923076925,11.111111111111109
71745,0.0,0.0,21.428571428571427,37.5
61231,0.0,0.0,26.66666666666667,30.76923076923077
47863,0.0,0.0,7.6923076923076925,7.142857142857142
49557,0.0,0.0,7.142857142857142,9.090909090909092
25748,0.0,0.0,17.647058823529417,30.0
33410,0.0,0.0,12.5,20.0
95635,0.0,0.0,7.142857142857142,9.090909090909092
65061,0.0,0.0,15.789473684210524,21.428571428571427
34974,0.0,0.0,21.428571428571427,27.27272727272727
27313,0.0,0.0,6.25,12.5
7037,0.0,0.0,10.0,9.090909090909092
27725,0.0,0.0,6.666666666666668,14.285714285714285
15220,0.0,0.0,14.285714285714285,22.222222222222218
13639,0.0,0.0,6.25,9.090909090909092
53163,0.0,0.0,6.25,16.666666666666664
104865,0.0,0.0,15.384615384615385,25.0
63385,0.0,0.0,9.090909090909092,9.090909090909092
66153,0.0,0.0,10.0,11.111111111111109
98650,0.0,0.0,13.333333333333336,16.666666666666664
107420,0.0,0.0,6.666666666666668,20.0
110225,0.0,0.0,6.25,14.285714285714285
65618,0.0,0.0,6.25,20.0
7051,0.0,0.0,10.0,12.5
28416,0.0,0.0,9.090909090909092,10.0
113942,0.0,0.0,0.0,0.0
71031,0.0,0.0,12.5,18.181818181818183
62458,0.0,0.0,7.6923076923076925,9.090909090909092
352,0.0,0.0,11.764705882352938,22.222222222222218
27025,0.0,0.0,6.25,8.333333333333332
40403,0.0,0.0,14.285714285714285,10.0
16327,0.0,0.0,7.142857142857142,11.111111111111109
55774,0.0,0.0,0.0,0.0
85551,0.0,0.0,14.285714285714285,11.111111111111109
43658,0.0,0.0,7.142857142857142,9.090909090909092
28182,0.0,0.0,9.090909090909092,9.090909090909092
102523,0.0,0.0,18.181818181818183,18.181818181818183
35607,0.0,0.0,12.5,25.0
81681,0.0,0.0,5.882352941176469,12.5
27184,0.0,0.0,12.5,25.0
57492,0.0,0.0,5.5555555555555545,16.666666666666664
64602,0.0,0.0,0.0,0.0
25969,0.0,0.0,6.25,12.5
2160,0.0,0.0,11.111111111111109,9.090909090909092
77725,0.0,0.0,18.181818181818183,16.666666666666664
73166,0.0,0.0,0.0,0.0
39488,0.0,0.0,15.384615384615385,20.0
20769,0.0,0.0,20.0,22.222222222222218
12130,0.0,0.0,13.333333333333336,20.0
96565,0.0,0.0,11.111111111111109,15.384615384615385
18908,0.0,0.0,22.222222222222218,18.181818181818183
20929,0.0,0.0,20.0,20.0
55019,0.0,0.0,15.384615384615385,20.0
71886,0.0,0.0,14.285714285714285,28.57142857142857
107051,0.0,0.0,20.0,16.666666666666664
14079,0.0,0.0,13.333333333333336,20.0
7724,0.0,0.0,11.764705882352938,18.181818181818183
19965,0.0,0.0,18.75,27.27272727272727
489,0.0,0.0,6.666666666666668,20.0
1733,0.0,0.0,9.090909090909092,16.666666666666664
45460,0.0,0.0,5.882352941176469,7.142857142857142
99432,0.0,0.0,25.0,27.27272727272727
7317,0.0,0.0,13.333333333333336,25.0
39701,0.0,0.0,15.384615384615385,20.0
102952,0.0,0.0,8.333333333333332,11.111111111111109
69644,0.0,0.0,5.882352941176469,10.0
51431,0.0,0.0,5.263157894736842,14.285714285714285
58440,0.0,0.0,8.333333333333332,16.666666666666664
14573,0.0,0.0,7.6923076923076925,12.5
38617,0.0,0.0,11.764705882352938,11.764705882352938
60573,0.0,0.0,9.090909090909092,12.5
21831,0.0,0.0,6.25,20.0
106112,66.66666666666666,66.66666666666666,23.07692307692308,25.0
79398,0.0,0.0,20.0,14.285714285714285
60477,0.0,0.0,18.181818181818183,20.0
34892,0.0,0.0,21.428571428571427,50.0
4523,0.0,0.0,7.6923076923076925,14.285714285714285
96441,0.0,0.0,5.5555555555555545,11.111111111111109
75809,0.0,0.0,20.0,10.0
112545,0.0,0.0,6.25,9.090909090909092
95242,0.0,0.0,28.57142857142857,23.529411764705877
59533,0.0,0.0,8.333333333333332,9.090909090909092
45498,0.0,0.0,5.882352941176469,20.0
13039,0.0,0.0,16.666666666666664,20.0
106425,0.0,0.0,7.142857142857142,12.5
53576,0.0,0.0,17.391304347826086,40.0
72254,0.0,0.0,14.285714285714285,27.27272727272727
72665,0.0,0.0,0.0,0.0
88381,0.0,0.0,7.142857142857142,12.5
68790,0.0,0.0,16.666666666666664,16.666666666666664
56508,0.0,0.0,17.647058823529417,37.5
98362,0.0,0.0,11.111111111111109,28.57142857142857
91247,0.0,0.0,10.526315789473683,20.0
80009,0.0,0.0,8.333333333333332,14.285714285714285
65886,0.0,0.0,0.0,0.0
